caused,,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
timescale,sleepstage,,,,,,
1,LS,0.019838530001152883,0.005597005768931031,0.018517246051201596,0.018966291815012786,0.00443994296336904,0.014643883113151486
1,DS,0.015034494381539133,0.007757702687970112,0.022794538466214008,0.008484618897788987,0.005981517426328044,0.007825863873551827
1,REM,0.012382886013132033,0.005895604298612743,0.01617363804366788,0.022247257923383917,0.006389569359680539,0.017694342253888617
2,LS,0.028208700335328313,0.00841117163742721,0.024011114547116984,0.03290952040760454,0.007817948056903645,0.023271801855029736
2,DS,0.015730176736873096,0.010520033031981596,0.023052543224060043,0.013455858471261156,0.004756572497040067,0.009639173041552988
2,REM,0.018473323019355677,0.013303835872765856,0.022653958945440106,0.035224984490661713,0.009813848847881917,0.023491540730233577
5,LS,0.050582630862464645,0.01836091845864076,0.03475217721530794,0.05647293165890847,0.012524728171335165,0.030482315530134446
5,DS,0.014844190721911493,0.004336482457650191,0.024260347334880843,0.023186322878948857,0.007819537180327175,0.006634815041689506
5,REM,0.036580794777325634,0.027392720693586604,0.038086215366207155,0.049800727657612294,0.014263937840579246,0.022630713009730206
10,LS,0.06997804540511213,0.023214939620160156,0.03529681301754326,0.06344260602381115,0.013270856775350469,0.038221163331536426
10,DS,0.02134418693507722,0.010445901654197655,0.014295280746444386,0.02957035091555127,-0.00277978690722521,0.01095327281771169
10,REM,0.05547553588983259,0.04636215003128687,0.04006565601875702,0.04045033390971019,0.017541411863478067,0.02192979039477939
15,LS,0.08168536927126364,0.02547098019145723,0.0401419453540381,0.05066291523049335,0.013820573939983892,0.03551425293912096
15,DS,0.007802651321579681,0.008185596020342235,0.027226827885091832,0.0012216216403408897,-0.00033732888272212995,0.001664893720488815
15,REM,0.05071281617466801,0.04920254595162896,0.060952559774301404,0.04220189649113389,0.01943515051201745,0.01038639039874567
