caused,,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
timescale,sleepstage,,,,,,
1,LS,0.0012331778154613606,0.0006941307392845194,0.0008996115143939223,0.0008222325683531301,0.00042445711444970215,0.0008114499410871055
1,DS,0.0027734670390361007,0.0033501182928285544,0.0023876811433433767,0.002015334164297746,0.0026696061746175085,0.0017003921022154186
1,REM,0.0015703764014101482,0.001298612325170564,0.002290004689526852,0.0021466217685784513,0.0011197657772817142,0.0016623624125914423
2,LS,0.001397505842379375,0.0008306613547546693,0.0013025565170898864,0.0017747241778164665,0.0007097863306337625,0.001360640158841415
2,DS,0.002543747082617292,0.004289115103888602,0.002790373251843028,0.0022913898688398954,0.00211556089753091,0.002313038312828578
2,REM,0.002624193621764291,0.0016724749399347635,0.0024122642253268413,0.0032009976622011907,0.001785107832647906,0.0021804278586714768
5,LS,0.0028320522843905175,0.0019382485856372896,0.0023762429652129553,0.0026544890574190074,0.0015109312837496833,0.0019432302806150297
5,DS,0.004434955454158028,0.0029978318323135955,0.00530722684328361,0.005602490024277369,0.00404365307415328,0.0028868871200985065
5,REM,0.00469714601682219,0.002919716543062643,0.0036901673565720083,0.005314975132042216,0.003162270527852388,0.003176067466461143
10,LS,0.004654306960808147,0.002294182608507522,0.0027471402260144163,0.0038283507699460036,0.0021444232999414292,0.003352981021330892
10,DS,0.008752062247272383,0.004853257068415971,0.00494127589600957,0.008673161317604587,0.006198691506399569,0.005719066293472942
10,REM,0.009870070026562103,0.0063234196123233225,0.006926125862275923,0.0073005497741144496,0.005702531333384516,0.007280169392377662
15,LS,0.005313368380013902,0.0031792103557534072,0.004178846893466927,0.005513973242598862,0.0032564712919228612,0.005559364817752552
15,DS,0.00851308962229831,0.009318664151011768,0.010620211804316798,0.008448709671136881,0.007498183461916103,0.006943743853132652
15,REM,0.015258135912814602,0.013975831822073976,0.011317755317066136,0.009731395173336908,0.007573362365374348,0.005519986280400283
