time,breath,heart,delta,theta,alpha
4,0.4,1.327899027083881,665.0994329472431,199.0311767692225,100.11634483839428
5,0.4,1.3027795459367706,346.2050294672762,120.79412268765873,75.57367779859516
6,0.4,1.3127413127413128,332.52563128199415,94.06824258993532,50.462734164100965
7,0.41530054644808745,1.3157894736842106,212.22669530278756,76.77542496292266,50.92066212975138
8,0.4342857142857143,1.327804490714191,221.22844797279805,62.748963132746965,37.11612796470573
9,0.417910447761194,1.342281879194631,154.93169976125245,58.03603952148608,29.79929682783285
10,0.37333333333333335,1.342281879194631,154.34723092317407,55.791848058788375,28.530564647428005
11,0.3373493975903614,1.3510429503856862,130.39064855287666,52.18688978630229,30.63950356512997
12,0.3333333333333333,1.352838668256443,123.2899531987006,44.03029146660918,20.64912702121528
13,0.3333333333333333,1.3513513513513513,103.28237268951104,44.485343868107414,13.919956620665094
14,0.3333333333333333,1.3416171438861875,109.28091442257612,40.16909143744058,28.18478573217567
15,0.35200000000000004,1.3411680272719118,87.96539499535876,41.597340305267636,27.87283391404277
16,0.37606837606837606,1.3193534294451725,96.09606837775438,34.48048684989451,19.021737629691234
17,0.4,1.338106959051242,74.53204918905836,30.351517540567706,15.433236879661745
18,0.4,1.3192496493688637,87.87734105038702,30.972364690824943,13.365668695013433
19,0.4,1.3316227216421872,64.36094622458472,30.226178249296677,18.43214952690074
20,0.4,1.3337482772418088,77.48898150239005,30.673932142756435,17.496999969931245
21,0.4,1.342281879194631,69.04037801106747,32.206353202295176,21.06437146379874
22,0.3981042654028436,1.3460051839388842,75.35541114597977,32.13757164497192,15.35423291550994
23,0.3835616438356164,1.3657763482962757,46.57626829298656,24.38865041163357,21.87359757440887
24,0.3700440528634361,1.344392289112701,59.82011149965543,25.621852494050355,22.673334027286042
25,0.36363636363636365,1.3359722909450769,45.875005978967984,12.89751492166625,21.041680637271053
26,0.36363636363636365,1.3584696423620737,54.49563921729385,23.441505591551994,18.627218518879896
27,0.36363636363636365,1.3256484149855907,44.63218400625156,27.40914326493784,21.177974845724403
28,0.37333333333333335,1.3495765590326523,43.34890059531072,12.830111662558199,17.44876557811235
29,0.3870967741935484,1.3029593357462208,43.03678904096256,16.591066350571555,18.583087846106146
30,0.3981042654028436,1.3059147763408947,47.710878779624956,22.066714890083603,21.49903099209181
31,0.3835616438356164,1.3182348619094955,35.945814196319276,16.123104411583252,14.353627651339712
32,0.3700440528634361,1.2987012987012987,49.92869844941496,17.114587026077807,18.626411637731657
33,0.3700440528634361,1.3206321714656857,31.517303473790626,19.474606579795022,16.758538654209406
34,0.3835616438356164,1.3333333333333333,42.65574369107893,19.411411068321993,14.36636653334133
35,0.3981042654028436,1.3569457221711134,35.966461799618294,22.95985138287507,16.557223755943536
36,0.3870967741935484,1.3793103448275863,40.060602260412814,21.84999843334838,20.31395354711161
37,0.37333333333333335,1.3704456311138418,30.85965565996047,19.667889597960205,21.779485911534163
38,0.3668122270742358,1.3922576889492577,34.78746438693063,13.074085690490454,13.307553668753771
39,0.38009049773755654,1.3793103448275863,32.07393398204213,17.998274187437303,20.51063325575444
40,0.3943661971830986,1.3753662917099916,37.14072026805783,14.984430215263535,21.058209831529858
41,0.38260869565217387,1.37731919727376,28.4329277250733,17.088085091175266,23.009222901510235
42,0.35772357723577236,1.356164383561644,29.225251326959167,21.13750481998404,18.590313303722795
43,0.3358778625954198,1.3333333333333333,30.249112369229387,20.15281168647061,12.916733866315218
44,0.32573289902280134,1.3802816901408452,37.6935585892203,22.06263319057155,30.14402232432313
45,0.31746031746031744,1.3605442176870748,33.96732081604384,19.774195877234284,29.46657170813799
46,0.30959752321981426,1.365967365967366,33.073913251548326,17.068678704636742,22.518847428241088
47,0.3358778625954198,1.335499007399386,23.77003017763416,22.972834719678712,20.77230086278931
48,0.38260869565217387,1.3462233465847486,39.57183047444166,16.52887388539858,25.55373658095401
49,0.4444444444444444,1.3388859036360379,28.716545922750164,15.48251983449495,27.712779830165637
50,0.348993288590604,1.3169984686064318,29.177962175089213,16.66039037297337,23.58466965881007
51,0.287292817679558,1.3212042451808528,23.904143335465655,15.022715482282829,20.942620326192458
52,0.244131455399061,1.2855489417989416,28.448774109538125,14.697400722439582,22.07443071562463
53,0.2545454545454545,1.289172608191013,24.33934540005592,15.927121684974198,27.577979260347888
54,0.2857142857142857,1.2903225806451613,24.13634749529418,12.871108270294444,33.35979463932561
55,0.32558139534883723,1.2903225806451613,23.98483267126502,19.506763562648405,22.876469675077306
56,0.36363636363636365,1.296467231685827,35.43091139835276,18.16641110248343,27.51191779454246
